"Redirect to payment process","Weiterleitung zum Bezahlsystem"
"Please confirm your payment:","Bitte f&uuml;hren Sie nun die Zahlung durch:"
"Card brand","Kartentyp"
"Card number","Kartennr."
"Card holder","Karteninhaber"
"Card expiry","Ablaufdatum"
"day","Tag"
"month","Monat"
"year","Jahr"
"Verification number","Pr&uuml;fnummer"
"pay now","Jetzt Bezahlen"
"payment information","Zahlungsinformationen"
"Automatically invoiced by Heidelpay.","Automatische Rechnungserstellung durch Heidelpay."
"Automatically invoiced","Automatische Rechnungserstellung und Versand"
"Bookingmode","Buchungsmodus"
"Recognition","Wiederkennung"
"Sort order","Reihenfolge"
"Minimum Amount (CENT)","Minimal Betrag in Cent"
"Maximum Amount (CENT)","Maximal Betrag in Cent"
"allow specific countries","Erlaubte L&auml;nder"
"specific countries","L&auml;nderauswahl"
"always","Immer"
"no recognition","keine Wiedererkennung"
"only if shippping adress is unchanged","nur bei gleichbleibender Lieferadresse"
"Prepayment Info Text","Bitte &uuml;berweisen Sie uns den Betrag von <strong>{AMOUNT} {CURRENCY}</strong> auf folgendes Konto:<br/><br/>
		Kontoinhaber: {CONNECTOR_ACCOUNT_HOLDER}<br/>
		IBAN: {CONNECTOR_ACCOUNT_IBAN}<br/><br/>
		<i>Geben Sie als Verwendungszweck bitte ausschlie&szlig;lich diese Identifikationsnummer an:</i><br/>
		<strong>{IDENTIFICATION_SHORTID}</strong>"
"Direct Debit Info Text","Der Betrag von <strong>{AMOUNT} {CURRENCY}</strong> wird in den n&auml;chsten Tagen von folgendem Konto abgebucht:<br /><br />
			IBAN: {Iban}<br /><br/>
			<i>Die Abbuchung enth&auml;lt die Mandatsreferenz-ID: {Ident}<br />
			und die Gl&auml;ubiger ID: {CreditorId}</i><br />
			<br />
			Bitte sorgen Sie f&uuml;r ausreichende Deckung auf dem entsprechenden Konto."
"Invoice Info Text","Bitte &uuml;berweisen Sie uns den Betrag von <strong>{AMOUNT} {CURRENCY}</strong> nach Erhalt der Ware auf folgendes Konto:<br/><br/>
		Kontoinhaber: {CONNECTOR_ACCOUNT_HOLDER}<br/>
		IBAN: {CONNECTOR_ACCOUNT_IBAN}<br/>
		BIC: {CONNECTOR_ACCOUNT_BIC}<br/><br/>
		<i>Geben Sie als Verwendungszweck bitte ausschlie&szlig;lich diese Identifikationsnummer an:</i><br/>
		<strong>{IDENTIFICATION_SHORTID}</strong>"
"An unexpected error occurred. Please contact us to get further information.","Es ist ein Fehler aufgetreten. Bitte kontaktieren Sie uns f&uuml;r weitere Informationen."
"continue","Weiter"
"Please enter additional payment information.","Geben Sie weitere Zahlungsinformationen ein."
"recived amount ","eingegangener Betrag "
"Push information from Heidelpay","Push Information von Heidelpay"
"Direct Booking","Sofortbuchung"
"Preauthorisation","Reservierung"
"Expires","Ablaufdatum:"

"Credit Card","Kreditkarte"
"Debit Card","Debitkarte"
"Debitcard","Debitkarte"
"Direct Debit","Lastschrift"
"SOFORT &Üuml;berweisung","SOFORT &Uuml;berweisung"
"Giropay","Giropay"
"Pay Pal","PayPal"
"EPS","EPS"
"iDeal","iDeal"
"Prepayment","Vorkasse"
"Invoice","Rechnung"
"BillSafe","Kauf auf Rechnung"
"MasterPass","MasterPass"
"MASTER","MasterCard"
"VISA","Visa"
"AMEX","American Express"
"MAESTRO","Maestro"
"DISCOVER","Discover"		
"DINERS","Diners Club"
"Payolution","Payolution Rechnungskauf"

"Deschcdcc","Sicher zahlen mit Kreditkarte"
"Deschcddc","Sicher zahlen mit Debitkarte"
"Deschcddd","Sicher zahlen mit Lastschrift"
"Deschcdeps","Sicher zahlen mit EPS"
"Deschcdgp","Sicher zahlen mit Giropay"
"Deschcdide","Sicher zahlen mit iDeal"
"Deschcdpal","Sicher zahlen mit PayPal"
"Deschcdpp","Sicher zahlen mit Vorkasse"
"Deschcdpf","Sicher zahlen mit Postfinance"
"Deschcdsu","Sicher zahlen mit Sofort&uuml;berweisung"
"Deschcdiv","Sicher bezahlen per Rechnungskauf"
"Deschcdmpa","MasterPass ist eine digitale Bezahll&ouml;sung f&uuml;r den Einkauf im Internet von MasterCard, die von Banken und MasterCard direkt bereitgestellt wird. Ihre Kartendaten und Lieferadressen werden an einem gesch&uuml;tzten Ort aufbewahrt. Nachdem Sie sich registriert haben, k&ouml;nnen Sie mit wenigen Klicks sicher online einkaufen."
"Deschcdddsec","Sicher zahlen mit Lastschrift"
"Deschcdivsec","Sicher bezahlen per Rechnungskauf"
"Deschcdivpol","Sicher bezahlen per Payolution Rechnungskauf"

"Return in Errorcase","R&uuml;ckleitung bei Bezahlfehler"
"Please configurate where your costumer should be redirected to in case of an payment error","Hier k&ouml;nnen Sie einstellen, wo der Kunde in Fehlerfall hingeleitet werden soll."
"Basket","Warenkorb"
"Use Testsystem","Testsystem Betrieb"
"If is set to yes, transactionis use the sandbox system and the TRANSACTION.MODE=CONNECTOR_TEST, otherwise real payment will be used with mode LIVE. For details see integration basisc documentation.","Wenn ja eingestellt ist, werden alle Transaktionen auf dem Testsystem durchgef&uuml;hrt. Ansonsten wird das Live System benutzt."
"Security Sender","Security Sender"
"User Login","User Login"
"User Password","User Password"
"Debug Log","Debug Log"
"If is set to yes, you can controll all neccessary conntetion Data in /var/log/Heidelpay.log","Wenn ja eingestellt wurde, k&ouml;nnen Sie in var/log/Heidelpay.log alle Debug Informationen einsehen."
"Invoicing over heidelpay","Heidelpay Rechnungsversand"
"Invoicing over heidelpay requires an extra contract. For more information, please contact your key account manager.","F&uuml;r Heidelpay Rechnungsversand ben&ouml;tigen Sie einen extra Vertag. Kontaktieren Sie Ihren Vertriebsansprechpartner f&uuml;r ein Angebot."
"General Settings Heidelpay","Heidelpay Einstellungen"
"about Heidelpay","&Uuml;ber Heidelpay"
"about MasterPass","&uuml;ber MasterPass"
"Please wait ...","Bitte warten ..."
"chargeback","Chargeback"
"debit failed","Lastschriftabbuchung fehlgeschlagen"

"Heidelpay Credit Card (hcd)","<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAAXNSR0IArs4c6QAAADBQTFRFODg43d3dt7e3KCgoREREU1NTAQEBEhIS////scfeeXl57OzsqKioXV1dk5OTnZ2dfmcBJgAAAAlwSFlzAAALEwAACxMBAJqcGAAAAAd0SU1FB9sJDgsIBJoD8v4AAABKSURBVAjXY5gJBQwzOsCgE53RCmM0AxknQIwGIMOiOyxBA8TgcFson9YCZIRzdHT0JQAZZSA1y4CMIhCjDaQGxOjtxGkFkAFzBgC9LkKOoh4LJgAAAABJRU5ErkJggg==' style='margin-right: 5px'/> Heidelpay CD-Edition Kreditkarte"
"Heidelpay Direct Debit (hcd)","<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAAXNSR0IArs4c6QAAADBQTFRFODg43d3dt7e3KCgoREREU1NTAQEBEhIS////scfeeXl57OzsqKioXV1dk5OTnZ2dfmcBJgAAAAlwSFlzAAALEwAACxMBAJqcGAAAAAd0SU1FB9sJDgsIBJoD8v4AAABKSURBVAjXY5gJBQwzOsCgE53RCmM0AxknQIwGIMOiOyxBA8TgcFson9YCZIRzdHT0JQAZZSA1y4CMIhCjDaQGxOjtxGkFkAFzBgC9LkKOoh4LJgAAAABJRU5ErkJggg==' style='margin-right: 5px'/> Heidelpay CD-Edition Lastschrift"
"Heidelpay direct debit secured(hcd)","<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAAXNSR0IArs4c6QAAADBQTFRFODg43d3dt7e3KCgoREREU1NTAQEBEhIS////scfeeXl57OzsqKioXV1dk5OTnZ2dfmcBJgAAAAlwSFlzAAALEwAACxMBAJqcGAAAAAd0SU1FB9sJDgsIBJoD8v4AAABKSURBVAjXY5gJBQwzOsCgE53RCmM0AxknQIwGIMOiOyxBA8TgcFson9YCZIRzdHT0JQAZZSA1y4CMIhCjDaQGxOjtxGkFkAFzBgC9LkKOoh4LJgAAAABJRU5ErkJggg==' style='margin-right: 5px'/> Heidelpay CD-Edition gesicherte SEPA Lastschrift (b2c)"
"Heidelpay Debit Card (hcd)","<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAAXNSR0IArs4c6QAAADBQTFRFODg43d3dt7e3KCgoREREU1NTAQEBEhIS////scfeeXl57OzsqKioXV1dk5OTnZ2dfmcBJgAAAAlwSFlzAAALEwAACxMBAJqcGAAAAAd0SU1FB9sJDgsIBJoD8v4AAABKSURBVAjXY5gJBQwzOsCgE53RCmM0AxknQIwGIMOiOyxBA8TgcFson9YCZIRzdHT0JQAZZSA1y4CMIhCjDaQGxOjtxGkFkAFzBgC9LkKOoh4LJgAAAABJRU5ErkJggg==' style='margin-right: 5px'/> Heidelpay CD-Edition Debitkarte"
"Heidelpay SOFORT &Uuml;berweisung (hcd)","<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAAXNSR0IArs4c6QAAADBQTFRFODg43d3dt7e3KCgoREREU1NTAQEBEhIS////scfeeXl57OzsqKioXV1dk5OTnZ2dfmcBJgAAAAlwSFlzAAALEwAACxMBAJqcGAAAAAd0SU1FB9sJDgsIBJoD8v4AAABKSURBVAjXY5gJBQwzOsCgE53RCmM0AxknQIwGIMOiOyxBA8TgcFson9YCZIRzdHT0JQAZZSA1y4CMIhCjDaQGxOjtxGkFkAFzBgC9LkKOoh4LJgAAAABJRU5ErkJggg==' style='margin-right: 5px'/> Heidelpay CD-Edition SOFORT &Uuml;berweisung"
"Heidelpay Giropay (hcd)","<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAAXNSR0IArs4c6QAAADBQTFRFODg43d3dt7e3KCgoREREU1NTAQEBEhIS////scfeeXl57OzsqKioXV1dk5OTnZ2dfmcBJgAAAAlwSFlzAAALEwAACxMBAJqcGAAAAAd0SU1FB9sJDgsIBJoD8v4AAABKSURBVAjXY5gJBQwzOsCgE53RCmM0AxknQIwGIMOiOyxBA8TgcFson9YCZIRzdHT0JQAZZSA1y4CMIhCjDaQGxOjtxGkFkAFzBgC9LkKOoh4LJgAAAABJRU5ErkJggg==' style='margin-right: 5px'/> Heidelpay CD-Edition Giropay"
"Heidelpay Postfinance (hcd)","<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAAXNSR0IArs4c6QAAADBQTFRFODg43d3dt7e3KCgoREREU1NTAQEBEhIS////scfeeXl57OzsqKioXV1dk5OTnZ2dfmcBJgAAAAlwSFlzAAALEwAACxMBAJqcGAAAAAd0SU1FB9sJDgsIBJoD8v4AAABKSURBVAjXY5gJBQwzOsCgE53RCmM0AxknQIwGIMOiOyxBA8TgcFson9YCZIRzdHT0JQAZZSA1y4CMIhCjDaQGxOjtxGkFkAFzBgC9LkKOoh4LJgAAAABJRU5ErkJggg==' style='margin-right: 5px'/> Heidelpay CD-Edition Postfinance"
"Heidelpay Invoice (hcd)","<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAAXNSR0IArs4c6QAAADBQTFRFODg43d3dt7e3KCgoREREU1NTAQEBEhIS////scfeeXl57OzsqKioXV1dk5OTnZ2dfmcBJgAAAAlwSFlzAAALEwAACxMBAJqcGAAAAAd0SU1FB9sJDgsIBJoD8v4AAABKSURBVAjXY5gJBQwzOsCgE53RCmM0AxknQIwGIMOiOyxBA8TgcFson9YCZIRzdHT0JQAZZSA1y4CMIhCjDaQGxOjtxGkFkAFzBgC9LkKOoh4LJgAAAABJRU5ErkJggg==' style='margin-right: 5px'/> Heidelpay CD-Edition Rechnung"
"Heidelpay invoice secured(hcd)","<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAAXNSR0IArs4c6QAAADBQTFRFODg43d3dt7e3KCgoREREU1NTAQEBEhIS////scfeeXl57OzsqKioXV1dk5OTnZ2dfmcBJgAAAAlwSFlzAAALEwAACxMBAJqcGAAAAAd0SU1FB9sJDgsIBJoD8v4AAABKSURBVAjXY5gJBQwzOsCgE53RCmM0AxknQIwGIMOiOyxBA8TgcFson9YCZIRzdHT0JQAZZSA1y4CMIhCjDaQGxOjtxGkFkAFzBgC9LkKOoh4LJgAAAABJRU5ErkJggg==' style='margin-right: 5px'/> Heidelpay CD-Edition gesicherte Rechnung (b2c)"
"Heidelpay Pay Pal (hcd)","<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAAXNSR0IArs4c6QAAADBQTFRFODg43d3dt7e3KCgoREREU1NTAQEBEhIS////scfeeXl57OzsqKioXV1dk5OTnZ2dfmcBJgAAAAlwSFlzAAALEwAACxMBAJqcGAAAAAd0SU1FB9sJDgsIBJoD8v4AAABKSURBVAjXY5gJBQwzOsCgE53RCmM0AxknQIwGIMOiOyxBA8TgcFson9YCZIRzdHT0JQAZZSA1y4CMIhCjDaQGxOjtxGkFkAFzBgC9LkKOoh4LJgAAAABJRU5ErkJggg==' style='margin-right: 5px'/> Heidelpay CD-Edition PayPal"
"Heidelpay Prepayment (hcd)","<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAAXNSR0IArs4c6QAAADBQTFRFODg43d3dt7e3KCgoREREU1NTAQEBEhIS////scfeeXl57OzsqKioXV1dk5OTnZ2dfmcBJgAAAAlwSFlzAAALEwAACxMBAJqcGAAAAAd0SU1FB9sJDgsIBJoD8v4AAABKSURBVAjXY5gJBQwzOsCgE53RCmM0AxknQIwGIMOiOyxBA8TgcFson9YCZIRzdHT0JQAZZSA1y4CMIhCjDaQGxOjtxGkFkAFzBgC9LkKOoh4LJgAAAABJRU5ErkJggg==' style='margin-right: 5px'/> Heidelpay CD-Edition Vorkasse"
"Heidelpay Billsafe (hcd)","<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAAXNSR0IArs4c6QAAADBQTFRFODg43d3dt7e3KCgoREREU1NTAQEBEhIS////scfeeXl57OzsqKioXV1dk5OTnZ2dfmcBJgAAAAlwSFlzAAALEwAACxMBAJqcGAAAAAd0SU1FB9sJDgsIBJoD8v4AAABKSURBVAjXY5gJBQwzOsCgE53RCmM0AxknQIwGIMOiOyxBA8TgcFson9YCZIRzdHT0JQAZZSA1y4CMIhCjDaQGxOjtxGkFkAFzBgC9LkKOoh4LJgAAAABJRU5ErkJggg==' style='margin-right: 5px'/> Heidelpay CD-Edition BillSafe"
"Heidelpay EPS (hcd)","<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAAXNSR0IArs4c6QAAADBQTFRFODg43d3dt7e3KCgoREREU1NTAQEBEhIS////scfeeXl57OzsqKioXV1dk5OTnZ2dfmcBJgAAAAlwSFlzAAALEwAACxMBAJqcGAAAAAd0SU1FB9sJDgsIBJoD8v4AAABKSURBVAjXY5gJBQwzOsCgE53RCmM0AxknQIwGIMOiOyxBA8TgcFson9YCZIRzdHT0JQAZZSA1y4CMIhCjDaQGxOjtxGkFkAFzBgC9LkKOoh4LJgAAAABJRU5ErkJggg==' style='margin-right: 5px'/> Heidelpay CD-Edition EPS"
"Heidelpay iDeal (hcd)","<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAAXNSR0IArs4c6QAAADBQTFRFODg43d3dt7e3KCgoREREU1NTAQEBEhIS////scfeeXl57OzsqKioXV1dk5OTnZ2dfmcBJgAAAAlwSFlzAAALEwAACxMBAJqcGAAAAAd0SU1FB9sJDgsIBJoD8v4AAABKSURBVAjXY5gJBQwzOsCgE53RCmM0AxknQIwGIMOiOyxBA8TgcFson9YCZIRzdHT0JQAZZSA1y4CMIhCjDaQGxOjtxGkFkAFzBgC9LkKOoh4LJgAAAABJRU5ErkJggg==' style='margin-right: 5px'/> Heidelpay CD-Edition iDeal"
"Heidelpay Yapital (hcd)","<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAAXNSR0IArs4c6QAAADBQTFRFODg43d3dt7e3KCgoREREU1NTAQEBEhIS////scfeeXl57OzsqKioXV1dk5OTnZ2dfmcBJgAAAAlwSFlzAAALEwAACxMBAJqcGAAAAAd0SU1FB9sJDgsIBJoD8v4AAABKSURBVAjXY5gJBQwzOsCgE53RCmM0AxknQIwGIMOiOyxBA8TgcFson9YCZIRzdHT0JQAZZSA1y4CMIhCjDaQGxOjtxGkFkAFzBgC9LkKOoh4LJgAAAABJRU5ErkJggg==' style='margin-right: 5px'/> Heidelpay CD-Edition Yapital"
"Heidelpay MasterPass (hcd)","<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAAXNSR0IArs4c6QAAADBQTFRFODg43d3dt7e3KCgoREREU1NTAQEBEhIS////scfeeXl57OzsqKioXV1dk5OTnZ2dfmcBJgAAAAlwSFlzAAALEwAACxMBAJqcGAAAAAd0SU1FB9sJDgsIBJoD8v4AAABKSURBVAjXY5gJBQwzOsCgE53RCmM0AxknQIwGIMOiOyxBA8TgcFson9YCZIRzdHT0JQAZZSA1y4CMIhCjDaQGxOjtxGkFkAFzBgC9LkKOoh4LJgAAAABJRU5ErkJggg==' style='margin-right: 5px'/> Heidelpay CD-Edition MasterPass"
"Heidelpay Payolution (hcd)","<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAAXNSR0IArs4c6QAAADBQTFRFODg43d3dt7e3KCgoREREU1NTAQEBEhIS////scfeeXl57OzsqKioXV1dk5OTnZ2dfmcBJgAAAAlwSFlzAAALEwAACxMBAJqcGAAAAAd0SU1FB9sJDgsIBJoD8v4AAABKSURBVAjXY5gJBQwzOsCgE53RCmM0AxknQIwGIMOiOyxBA8TgcFson9YCZIRzdHT0JQAZZSA1y4CMIhCjDaQGxOjtxGkFkAFzBgC9LkKOoh4LJgAAAABJRU5ErkJggg==' style='margin-right: 5px'/> Heidelpay CD-Edition Payolution"

"No.","Nr."
"Valid until:","G&uuml;ltig bis:"
"close","schliessen"
"Cardtype:","Kartentyp:"
"Account No","Konto"
"Bankcode","BLZ"
"IBAN","IBAN"
"BIC","BIC"
"Holder","Kontoinhaber"
"Identification","Verwendungszweck"
"Owner","Inhaber"
"Change at MasterPass","&Auml;ndern bei MasterPass"
"Please enter account no.","Bitte Konto angeben."
"Please enter bankcode.","Bitte BLZ angeben."
"Please enter owner.","Bitte Inhaber angeben."
"Enter additional information for the payment.","Geben Sie weitere Zahlungsinformationen ein."
"BillSafe Info Text","{LEGALNOTE}<br/><br/>
		Bitte &uuml;berweisen Sie den Betrag von <strong>{AMOUNT} {CURRENCY}</strong>, innerhalb von <strong>{PERIOD} Tage</strong> nach dem Sie &uuml;ber den Versand informiert wurden, auf folgendes Konto:<br/><br/>
		<strong>Kontoinhaber: {CONNECTOR_ACCOUNT_HOLDER}<br/>
		IBAN: {CONNECTOR_ACCOUNT_IBAN}<br/>
		BIC: {CONNECTOR_ACCOUNT_BIC}</strong><br/><br/>
		<i>Geben Sie als Verwendungszweck bitte ausschlie&szlig;lich diese Identifikationsnummer an:</i><br/>
		<strong>{IDENTIFICATION_SHORTID}</strong>"

"Bank code or bic","Bankleitzahl oder Bic"
"Account number or iban","Kontonr. oder Iban"
"IBAN & BIC","IBAN & BIC"

"Account information","Kontoinformationen"
"Account no. & Bank no.","Kontonummer & Bankleitzahl"
"IBAN & BIC","IBAN & BIC"

"salutation","Anrede"
"mrs","Frau"
"mr","Herr"
"Date of birth","Geburtsdatum"

"Canceled by user","Bezahlprozess vom Benutzer abgebrochen."
"Redirect to MasterPass ...","Weiterleitung zu MasterPass ..."
"This Transaction could not be capture online.","Diese Transaction kann nicht online erfasst werden."
"please note that this is only necessary, when you use purchase on account with payment guarantee.","Diese Einstellung ist nur Notwendig, wenn Sie bereits Rechnungskauf mit Zahlungssicherheit verwenden."
"please note that capture on delivery is only possible, when you set bookingmode to preauthorisation","Diese Einstellung ist nur m&ouml;glich, wenn der Buchungsmodus auf Reservierung steht."
"Automatically capture on delivery","Automatische Erfassung bei Versand"
"Send delivery note to Heidelpay","Versandmeldung an Heidelpay"
"Successfully report delivery to Heidelpay.","Lieferung erfolgreich an Heidelpay gemeldet."
"Delivery notes to Heidelpay fail, because of : ","Versandmeldung an Heidelpay ist fehlgeschalgen. "

"You have used the card %CARD% befor, would you like to use this again?","Sie haben beim letzten Einkauf die Karte %CARD% verwendet, wollen Sie diese erneut benutzen?"
"HPError-100.100.101","Bitte &uuml;berpr&uuml;fen Sie Ihre Eingaben"
"HPError-100.100.303","Die Karte ist abgelaufen"
"HPError-100.100.500","Bitte &uuml;berpr&uuml;fen Sie Ihre Eingaben"
"HPError-100.396.101","Abbruch durch Benutzer"
"HPError-100.400.110","Bitte w&auml;hlen Sie eine andere Zahlart"
"HPError-800.100.151","Bitte w&auml;hlen Sie eine andere Zahlart"
"HPError-800.100.152","Bitte w&auml;hlen Sie eine andere Zahlart"
"HPError-800.100.153","Bitte &uuml;berpr&uuml;fen Sie Ihre Eingaben"
"HPError-800.100.157","Bitte &uuml;berpr&uuml;fen Sie Ihre Eingaben"
"HPError-800.100.159","Bitte w&auml;hlen Sie eine andere Zahlart"
"HPError-800.100.160","Bitte w&auml;hlen Sie eine andere Zahlart"
"HPError-800.100.168","Bitte w&auml;hlen Sie eine andere Zahlart"
"HPError-800.100.171","Bitte w&auml;hlen Sie eine andere Zahlart"
"HPError-800.300.101","Bitte w&auml;hlen Sie eine andere Zahlart"

"The booking contains:","Die Abbuchung enthält:"
"mandate reference ID","Mandatsreferenz-ID"
"creditor identifier","Gläubiger ID"